Versa Service Name,Protocol,Port,Has Palo Alto Match,Palo Alto Service(s),Palo Alto Count
mumps,tcp,188,No,,0
mumps,udp,188,No,,0
mylex-mapd,tcp,467,No,,0
mylex-mapd,udp,467,No,,0
nameserver,tcp,42,No,,0
nameserver,udp,42,No,,0
name,tcp,42,No,,0
name,udp,42,No,,0
namp,tcp,167,No,,0
namp,udp,167,No,,0
nas,tcp,991,No,,0
nas,udp,991,No,,0
nced,tcp,404,No,,0
nced,udp,404,No,,0
ncld,tcp,405,No,,0
ncld,udp,405,No,,0
ncp,tcp,524,No,,0
ncp,udp,524,No,,0
ndsauth,tcp,353,No,,0
ndsauth,udp,353,No,,0
nest-protocol,tcp,489,No,,0
nest-protocol,udp,489,No,,0
netbios-dgm,tcp,138,No,,0
netbios-dgm,udp,138,Yes,service-ms-netlogon; service-netbios-dgm,2
netbios-ns,tcp,137,No,,0
netbios-ns,udp,137,Yes,service-netbios-ns,1
netbios-ssn,tcp,139,Yes,service-netbios-ssn,1
netbios-ssn,udp,139,No,,0
netconf-beep,tcp,831,No,,0
netconf-beep,udp,831,No,,0
netconf-ssh,tcp,830,No,,0
netconf-ssh,udp,830,No,,0
netconfsoapbeep,tcp,833,No,,0
netconfsoapbeep,udp,833,No,,0
netconfsoaphttp,tcp,832,No,,0
netconfsoaphttp,udp,832,No,,0
netcp,tcp,395,No,,0
netcp,udp,395,No,,0
netgw,tcp,741,No,,0
netgw,udp,741,No,,0
netnews,tcp,532,No,,0
netnews,udp,532,No,,0
netrcs,tcp,742,No,,0
netrcs,udp,742,No,,0
netrjs-1,tcp,71,No,,0
netrjs-1,udp,71,No,,0
netrjs-2,tcp,72,No,,0
netrjs-2,udp,72,No,,0
netrjs-3,tcp,73,No,,0
netrjs-3,udp,73,No,,0
netrjs-4,tcp,74,No,,0
netrjs-4,udp,74,No,,0
netsc-dev,tcp,155,No,,0
netsc-dev,udp,155,No,,0
netsc-prod,tcp,154,No,,0
netsc-prod,udp,154,No,,0
netviewdm1,tcp,729,No,,0
netviewdm1,udp,729,No,,0
netviewdm2,tcp,730,No,,0
